// Data set for ubmark-bin-search

int keys_sz = 1000;

int kv_sz = 999;

//KeyValue kv[] __attribute__ ((aligned (32))) = {
KeyValue kv[] = {
  KeyValue(275,798595),
  KeyValue(878,595),
  KeyValue(1657,542393),
  KeyValue(1664,325578),
  KeyValue(3228,491343),
  KeyValue(3818,165764),
  KeyValue(4202,739097),
  KeyValue(4253,171178),
  KeyValue(5181,782769),
  KeyValue(6341,436425),
  KeyValue(7698,671149),
  KeyValue(11143,589635),
  KeyValue(11316,193967),
  KeyValue(14950,829238),
  KeyValue(16074,170346),
  KeyValue(17944,914024),
  KeyValue(18251,698162),
  KeyValue(18916,982032),
  KeyValue(19092,741715),
  KeyValue(22083,817101),
  KeyValue(22405,518773),
  KeyValue(26000,259119),
  KeyValue(26339,167312),
  KeyValue(29355,856192),
  KeyValue(30040,23860),
  KeyValue(31255,739931),
  KeyValue(31403,572441),
  KeyValue(31638,523771),
  KeyValue(31656,731363),
  KeyValue(31838,413579),
  KeyValue(32269,574345),
  KeyValue(32338,869877),
  KeyValue(33053,802405),
  KeyValue(34243,444519),
  KeyValue(34572,830965),
  KeyValue(34970,210033),
  KeyValue(35059,320642),
  KeyValue(36367,756770),
  KeyValue(37682,602310),
  KeyValue(38659,602370),
  KeyValue(39663,256383),
  KeyValue(41420,45340),
  KeyValue(43407,408225),
  KeyValue(47464,262452),
  KeyValue(48264,762720),
  KeyValue(50083,940979),
  KeyValue(50481,405786),
  KeyValue(53694,496582),
  KeyValue(53726,655206),
  KeyValue(55278,220685),
  KeyValue(56134,846436),
  KeyValue(59197,86812),
  KeyValue(59347,474984),
  KeyValue(59959,576430),
  KeyValue(60142,308327),
  KeyValue(60241,974538),
  KeyValue(60262,45520),
  KeyValue(60564,909208),
  KeyValue(62886,852208),
  KeyValue(65193,463322),
  KeyValue(65356,771944),
  KeyValue(66842,383415),
  KeyValue(72685,651518),
  KeyValue(72854,529664),
  KeyValue(72869,879161),
  KeyValue(73038,545015),
  KeyValue(73183,533532),
  KeyValue(73510,428873),
  KeyValue(73712,690966),
  KeyValue(73749,947764),
  KeyValue(73850,50043),
  KeyValue(76821,121739),
  KeyValue(77255,991853),
  KeyValue(77324,713695),
  KeyValue(78214,335103),
  KeyValue(78263,279293),
  KeyValue(78941,768851),
  KeyValue(79916,495691),
  KeyValue(80322,110018),
  KeyValue(80353,29635),
  KeyValue(81737,94548),
  KeyValue(82394,521573),
  KeyValue(82597,729641),
  KeyValue(86605,376276),
  KeyValue(88992,204562),
  KeyValue(89853,359379),
  KeyValue(90732,266144),
  KeyValue(90745,789200),
  KeyValue(91533,525560),
  KeyValue(93643,320824),
  KeyValue(96538,110019),
  KeyValue(99865,766174),
  KeyValue(100869,972695),
  KeyValue(101637,233599),
  KeyValue(102257,538174),
  KeyValue(102468,463800),
  KeyValue(103797,9347),
  KeyValue(104579,131023),
  KeyValue(105184,517707),
  KeyValue(105562,22556),
  KeyValue(107180,245142),
  KeyValue(107738,436491),
  KeyValue(109083,165413),
  KeyValue(109927,921467),
  KeyValue(110132,475344),
  KeyValue(114529,747968),
  KeyValue(115606,667347),
  KeyValue(116442,985489),
  KeyValue(117237,951753),
  KeyValue(117436,699834),
  KeyValue(118397,526454),
  KeyValue(120176,152562),
  KeyValue(120690,376933),
  KeyValue(122506,35587),
  KeyValue(122949,506819),
  KeyValue(123444,243001),
  KeyValue(123848,70335),
  KeyValue(125365,827817),
